name,name_en,service_type,lat,lng,country_code
Thalita's Hair Design,Thalita's Hair Design,hairdresser,-22.9297637,-43.1769881,BR
Promoinfo Mix Centro,Promoinfo Mix Centro,mall;computer,-22.9070387,-43.177183,BR
Pizzaria de Icaraí,Pizzaria de Icaraí,restaurant,-22.9028026,-43.1108805,BR
Carminha Coiffeur,Carminha Coiffeur,hairdresser,-22.9022098,-43.1105911,BR
Lav Fácil,Lav Fácil,laundry,-22.902181,-43.1105531,BR
Faça Festa,Faça Festa,yes,-22.9029989,-43.1097775,BR
Nando,Nando,supermarket,-22.9027656,-43.1132585,BR
Confeitaria Colombo,Confeitaria Colombo,cafe,-22.9051703,-43.1787441,BR
Kalunga,Kalunga,stationery,-22.9048868,-43.181097,BR
Prêmio Livraria Papelaria,Prêmio Livraria Papelaria,books,-22.9027275,-43.1113419,BR
Financiadora,Financiadora,money_lender,-22.9038288,-43.1116546,BR
TIM,TIM,mobile_phone,-22.9024468,-43.1115608,BR
Honda,Honda,motorcycle,-22.9240688,-43.1779353,BR
Glória Gourmet,Glória Gourmet,restaurant,-22.9240134,-43.1773548,BR
Sofá-Cama 84,Sofá-Cama 84,furniture,-22.9240687,-43.177329,BR
Mobiliária Real,Mobiliária Real,furniture,-22.9244402,-43.1771059,BR
Princesa,Princesa,supermarket,-22.9249857,-43.1768312,BR
Rede Ultra,Rede Ultra,supermarket,-22.9260172,-43.1767601,BR
Colchões Ortobom,Colchões Ortobom,furniture,-22.925956,-43.1767631,BR
Papelaria Catete,Papelaria Catete,stationery,-22.9261426,-43.1767661,BR
Berbigão,Berbigão,restaurant,-22.9258976,-43.1767661,BR
Panificação Aliança,Panificação Aliança,bakery,-22.9365356,-43.1902817,BR
Biany Automóveis,Biany Automóveis,car,-22.9343936,-43.1871629,BR
MercaDez,MercaDez,supermarket,-22.9343765,-43.1870439,BR
HortiFruti,HortiFruti,supermarket,-22.9336632,-43.185883,BR
Bazar Sonimar,Bazar Sonimar,stationery,-22.9335356,-43.1856584,BR
Fietsrio,Fietsrio,bicycle,-22.9335147,-43.1855483,BR
Vega,Vega,clothes,-22.9334718,-43.184358,BR
Lu Fashion,Lu Fashion,clothes,-22.9332986,-43.1840695,BR
Frigorífico Palácio,Frigorífico Palácio,butcher,-22.9332357,-43.1839975,BR
SNC Sports Nutrition Center,SNC Sports Nutrition Center,supermarket,-22.9332181,-43.1839747,BR
Café e Bar Céu da Guanabara,Café e Bar Céu da Guanabara,cafe,-22.933188,-43.1839321,BR
Zona Sul,Zona Sul,supermarket,-22.9638318,-43.1714859,BR
Quiosque Ticket Center,Quiosque Ticket Center,ticket,-22.965269,-43.1730187,BR
Posto Golfe Clube,Posto Golfe Clube,fuel,-22.9982024,-43.2676087,BR
Real Astoria,Real Astoria,restaurant,-22.9488772,-43.1785387,BR
Cicle Calle,Cicle Calle,bicycle,-22.9867153,-43.1905681,BR
3 Shop,3 Shop,bicycle,-22.9863049,-43.1890382,BR
Casa Nicão,Casa Nicão,hardware,-22.950919,-43.176038,BR
Amaro,Amaro,hairdresser,-22.9515016,-43.1830056,BR
Utili Casa,Utili Casa,hardware,-22.9488824,-43.1826327,BR
Monteriu's,Monteriu's,car,-22.9470341,-43.1857025,BR
Anne,Anne,optician,-22.9508399,-43.1824009,BR
Hiper Visão,Hiper Visão,optician,-22.9511496,-43.1832428,BR
Panochelli,Panochelli,restaurant,-22.9507442,-43.1821379,BR
Café Atelier Culinário,Café Atelier Culinário,cafe,-22.9511364,-43.1826962,BR
Ponto Baby,Ponto Baby,clothes,-22.9508583,-43.1824585,BR
Versão Carioca,Versão Carioca,restaurant,-22.9506517,-43.1819165,BR
Alma Carioca,Alma Carioca,restaurant,-22.9496797,-43.1821055,BR
Pane & Dolce,Pane & Dolce,restaurant,-22.9493074,-43.1823499,BR
Lavanderia Cantuária,Lavanderia Cantuária,laundry,-22.9509245,-43.1760924,BR
Galeteria e Restaurante Botafogo,Galeteria e Restaurante Botafogo,restaurant,-22.9513664,-43.1827366,BR
Ben Ali,Ben Ali,restaurant,-22.9484843,-43.1826709,BR
Claro,Claro,mobile_phone,-22.9522198,-43.1862113,BR
Jandaia,Jandaia,laundry,-22.9515882,-43.1846861,BR
Padaria Nova Viriato,Padaria Nova Viriato,bakery,-22.9270747,-43.1794022,BR
Help Coiffeur,Help Coiffeur,hairdresser,-22.9262412,-43.1791211,BR
Le Brants,Le Brants,restaurant,-22.9347274,-43.1769409,BR
Catete 228,Catete 228,mall,-22.9282463,-43.1777778,BR
Digital Service,Digital Service,stationery,-22.8947855,-43.1195784,BR
Multimarca,Multimarca,clothes,-22.8942778,-43.1200678,BR
Carimbos,Carimbos,stationery,-22.8942665,-43.1201446,BR
Fashion Mix,Fashion Mix,clothes,-22.8942331,-43.1207141,BR
Sola e Meia,Sola e Meia,shoes,-22.8942407,-43.1205704,BR
Vanitar,Vanitar,clothes,-22.8942289,-43.1207921,BR
Moda Útil,Moda Útil,clothes,-22.8941884,-43.1212778,BR
Work Paper,Work Paper,stationery,-22.8942182,-43.1208574,BR
Mitt,Mitt,clothes,-22.894211,-43.1209365,BR
Hortelã,Hortelã,restaurant,-22.8941618,-43.1216149,BR
