name,name_en,service_type,lat,lng,country_code
Librería Porrua Mariano Otero,Librería Porrua Mariano Otero,books,20.6509791,-103.3978655,MX
Hamburguesería,Hamburguesería,restaurant,20.6734478,-103.365798,MX
Antena Café,Antena Café,cafe,20.6732534,-103.3653079,MX
Pizzas Hipster,Pizzas Hipster,restaurant,20.6731725,-103.3650238,MX
Il Diavolo,Il Diavolo,restaurant,20.673655,-103.3763757,MX
Casa Bariachi,Casa Bariachi,restaurant,20.6742924,-103.3784464,MX
Tienda ISSTE,Tienda ISSTE,supermarket,20.6628483,-103.2957049,MX
tienda de abarrotes,tienda de abarrotes,convenience,20.6594725,-103.2865073,MX
Taller autos,Taller autos,car_repair,20.6607349,-103.2833369,MX
Licoreria,Licoreria,alcohol,20.660686,-103.2847505,MX
Taller autos (mecanica gral.),Taller autos (mecanica gral.),car_repair,20.6604764,-103.2830714,MX
Tiendita,Tiendita,convenience,20.661725,-103.283577,MX
Taller de Motos,Taller de Motos,car_repair,20.6613096,-103.2899312,MX
Taller autos (cluch y frenos),Taller autos (cluch y frenos),car_repair,20.6609445,-103.285189,MX
Estetica unisex,Estetica unisex,hairdresser,20.6588212,-103.2858917,MX
Carnicería,Carnicería,butcher,20.6589844,-103.283982,MX
Estetoca unisex,Estetoca unisex,hairdresser,20.6605504,-103.2858274,MX
Pastelería,Pastelería,bakery,20.6606332,-103.2859668,MX
Lavandería Acuamatic,Lavandería Acuamatic,laundry,20.6579704,-103.2933309,MX
Taller autos (mecanica gral),Taller autos (mecanica gral),car_repair,20.6601376,-103.2843897,MX
Florería 24/7,Florería 24/7,florist,20.6618806,-103.2945928,MX
Vinateria y Modelorama,Vinateria y Modelorama,alcohol,20.6618818,-103.293044,MX
Tienda OXXO,Tienda OXXO,convenience,20.6622382,-103.2983613,MX
"Llantera, acumuladores, servicio mecanico gral.","Llantera, acumuladores, servicio mecanico gral.",car_repair,20.661356,-103.2912924,MX
Tienda Extra,Tienda Extra,convenience,20.6630036,-103.2897179,MX
Llantera,Llantera,car_repair,20.6618517,-103.2927864,MX
Abarrotes,Abarrotes,convenience,20.6616886,-103.2930707,MX
Floreria 24/7,Floreria 24/7,florist,20.6625294,-103.2993633,MX
Cafe y helados,Cafe y helados,cafe,20.6625256,-103.2851837,MX
Licorería y Modelorama,Licorería y Modelorama,alcohol,20.6626222,-103.2857027,MX
Mueblería y Juguetería,Mueblería y Juguetería,toys,20.6610373,-103.2861103,MX
Puesto de periodicos,Puesto de periodicos,kiosk,20.6611779,-103.2873306,MX
Auto-electrico,Auto-electrico,car_repair,20.6598778,-103.2861533,MX
Cerrajería,Cerrajería,kiosk,20.660824,-103.2857765,MX
Papelería y regalos,Papelería y regalos,gift,20.6595378,-103.286341,MX
Walmart,Walmart,supermarket,20.6280154,-103.25737,MX
Auto-eléctrico,Auto-eléctrico,car_repair,20.6612674,-103.2897145,MX
Puesto de periodico,Puesto de periodico,kiosk,20.6622462,-103.2984169,MX
Semillas y cereales,Semillas y cereales,convenience,20.6609409,-103.2946144,MX
Cerrajero,Cerrajero,kiosk,20.6638891,-103.2964839,MX
Opticas Bosco,Opticas Bosco,kiosk,20.6639092,-103.2983615,MX
Tienda de regalos,Tienda de regalos,gift,20.6627372,-103.2995189,MX
Articulos Militares,Articulos Militares,clothes,20.6637222,-103.2953038,MX
Mofles,Mofles,car_repair,20.6634813,-103.2953292,MX
Taller y refacciones para bicicleta,Taller y refacciones para bicicleta,bicycle,20.6636224,-103.294082,MX
Venta y reparación de guitarras,Venta y reparación de guitarras,music,20.6635484,-103.2940089,MX
Transmiciones Automaticas,Transmiciones Automaticas,car_repair,20.663547,-103.2939371,MX
Venta y reparación de bicicletas,Venta y reparación de bicicletas,bicycle,20.6630724,-103.2909845,MX
Vinos y Licores,Vinos y Licores,alcohol,20.6615861,-103.2904991,MX
Suspenciones y amortiguadores,Suspenciones y amortiguadores,car_repair,20.6614261,-103.2889058,MX
Rossy,Rossy,hairdresser,20.6615842,-103.2881119,MX
Ropa,Ropa,clothes,20.6619362,-103.285604,MX
Laminado y pintura,Laminado y pintura,car_repair,20.6592484,-103.2856824,MX
Aqua Matic,Aqua Matic,laundry,20.6304973,-103.2660291,MX
Ruvalcaba,Ruvalcaba,doityourself,20.6313959,-103.2639316,MX
Gasolinera Belisario,Gasolinera Belisario,fuel,20.7095753,-103.3110886,MX
Taller Vida,Taller Vida,car_repair,20.6348444,-103.2760445,MX
Funerales San José,Funerales San José,funeral_directors,20.6309374,-103.378099,MX
Elektra,Elektra,department_store,20.629238,-103.374612,MX
Zapateria 6 estrellas,Zapateria 6 estrellas,shoes,20.6293158,-103.374829,MX
Cremeria la higienica,Cremeria la higienica,dairy,20.6296145,-103.374708,MX
los gueros,los gueros,alcohol,20.6724018,-103.2887453,MX
Mi Piragua,Mi Piragua,restaurant,20.7346533,-103.3661822,MX
Sandys,Sandys,restaurant,20.7441397,-103.3861407,MX
SuperDulcería La Reyna de Abastos,SuperDulcería La Reyna de Abastos,confectionery,20.6570546,-103.3808433,MX
Mercado de Lomas,Mercado de Lomas,supermarket,20.745657,-103.3989674,MX
La giralda,La giralda,alcohol,20.7416991,-103.3851731,MX
La playa,La playa,alcohol,20.7474056,-103.385106,MX
TIENDA DE ROPA,TIENDA DE ROPA,clothes,20.7002303,-103.291231,MX
"CARNES EN SU JUGO ","CARNES EN SU JUGO ",restaurant,20.7000624,-103.2906556,MX
MARISCOS TANILO,MARISCOS TANILO,restaurant,20.7001308,-103.2911859,MX
ESTETICA SAFIRA,ESTETICA SAFIRA,hairdresser,20.7002807,-103.2907765,MX
MARISCOS EL CARNAL,MARISCOS EL CARNAL,restaurant,20.7004107,-103.2908312,MX
Mariscos,Mariscos,restaurant,20.6275047,-103.369877,MX
Zapateria,Zapateria,shoes,20.6278988,-103.370895,MX
Pasteles Tita,Pasteles Tita,bakery,20.6974477,-103.3422349,MX
Abarrotes Don Luis,Abarrotes Don Luis,convenience,20.6974615,-103.3423549,MX
Restaurant Turismo,Restaurant Turismo,restaurant,20.7410616,-103.3800032,MX
Café Olé,Café Olé,cafe,20.7410299,-103.3812061,MX
